year,crime,GDP
1960,1.0524016207051878,2.99986
1961,1.0416302352015387,3.05916
1962,1.0872525851720667,3.2360100000000003
1963,1.1567621483104578,3.36637
1964,1.2493918102343295,3.5653099999999998
1965,1.2654630385581265,3.81829
1966,1.3656072319712032,4.136310000000001
1967,1.514101804443499,4.32596
1968,1.6901789878585145,4.68459
1969,1.8273456315018495,5.02
1970,1.9605354184094534,5.2343
1971,2.0196205846410487,5.60938
1972,1.902415598136676,6.09402
1973,1.979690351725748,6.72636
1974,2.2945049954586736,7.225689999999999
1975,2.4861113717835623,7.80146
1976,2.463115918736228,8.59225
1977,2.347133110219478,9.45258
1978,2.3573436546989575,10.564950000000001
1979,2.52863484159401,11.67418
1980,2.6403458766122263,12.57479
1981,2.556536007610868,13.97611
1982,2.4202492938402136,14.43379
1983,2.2117180454823258,15.54389
1984,2.1304804410606457,17.12123
1985,2.1810756471475248,18.23683
1986,2.2822363352504897,19.07123
1987,2.2906536732315588,20.03894
1988,2.3043281924436654,21.417009999999998
1989,2.312690592533808,22.85715
1990,2.3401966032928656,23.8886
1991,2.3387541290442826,24.34226
1992,2.2189727224970794,25.41899
1993,2.126494719047102,26.38729
1994,2.0640237227328773,27.69485
1995,2.0075355369070045,28.69088
1996,1.917793760648965,29.96771
1997,1.8410384214439708,31.459130000000002
1998,1.7075724391037974,32.85367
1999,1.564592496924346,34.51538
2000,1.4656996886376004,36.32997
2001,1.458935795816198,37.13362
2002,1.432421360484014,37.99774
2003,1.3990811432249446,39.490300000000005
2004,1.3544039951229878,41.72464
2005,1.3154830063220653,44.123400000000004
2006,1.2719169279427613,46.301989999999996
2007,1.236783267163185,48.050230000000006
2008,1.2054215544473736,48.57006
2009,1.1288032779756652,47.19495
2010,1.083114352949784,48.65066
2011,1.0566844500749029,50.06598
2012,1.0372962613925407,51.78441
2013,0.9833883980598889,53.40975
2014,0.9238104825293784,55.30432
2015,0.8990746047688167,57.04021
2016,0.8809671350032583,58.20661
2017,0.848169896605051,60.32226
2018,0.7937861081498798,63.20105
2019,0.7583791181660962,65.60467999999999
